ts_iso,t_epoch,power_w,hardware,model_name,phase
2026-01-15T14:08:25.465891,1768482505.466,64.000,GPU_ORT_CUDA_ALL,IDLE,idle
2026-01-15T14:08:27.648918,1768482507.649,90.000,GPU_ORT_CUDA_ALL,IDLE,idle
2026-01-15T14:08:29.214456,1768482509.214,49.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp32,run
2026-01-15T14:08:31.826598,1768482511.827,165.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp32,run
2026-01-15T14:08:34.441851,1768482514.442,150.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp32,run
2026-01-15T14:08:37.046891,1768482517.047,170.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp32,run
2026-01-15T14:08:39.665191,1768482519.665,166.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp32,run
2026-01-15T14:08:42.278177,1768482522.278,168.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp32,run
2026-01-15T14:08:44.909162,1768482524.909,167.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp32,run
2026-01-15T14:08:47.524348,1768482527.524,175.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp32,run
2026-01-15T14:08:50.161496,1768482530.161,175.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp32,run
2026-01-15T14:08:54.056766,1768482534.057,122.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp16,run
2026-01-15T14:08:57.847113,1768482537.847,120.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp16,run
2026-01-15T14:09:01.614856,1768482541.615,121.000,GPU_ORT_CUDA_ALL,yolo11m_640_fp16,run
2026-01-15T14:09:05.423279,1768482545.423,125.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp16,run
2026-01-15T14:09:09.194810,1768482549.195,128.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp16,run
2026-01-15T14:09:13.016589,1768482553.017,145.000,GPU_ORT_CUDA_BASIC,yolo11m_640_fp16,run
2026-01-15T14:09:16.854429,1768482556.854,139.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp16,run
2026-01-15T14:09:20.710047,1768482560.710,124.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp16,run
2026-01-15T14:09:24.529394,1768482564.529,136.000,GPU_ORT_CUDA_DISABLE,yolo11m_640_fp16,run
2026-01-15T14:09:27.485389,1768482567.485,141.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp32,run
2026-01-15T14:09:29.914467,1768482569.914,123.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp32,run
2026-01-15T14:09:32.348914,1768482572.349,153.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp32,run
2026-01-15T14:09:34.788489,1768482574.788,152.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp32,run
2026-01-15T14:09:37.231289,1768482577.231,136.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp32,run
2026-01-15T14:09:39.655832,1768482579.656,163.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp32,run
2026-01-15T14:09:42.105215,1768482582.105,153.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp32,run
2026-01-15T14:09:44.535501,1768482584.536,155.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp32,run
2026-01-15T14:09:46.922925,1768482586.923,161.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp32,run
2026-01-15T14:09:50.225733,1768482590.226,131.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp16,run
2026-01-15T14:09:53.518908,1768482593.519,120.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp16,run
2026-01-15T14:09:56.782330,1768482596.782,131.000,GPU_ORT_CUDA_ALL,yolo11m_512_fp16,run
2026-01-15T14:10:00.017412,1768482600.017,120.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp16,run
2026-01-15T14:10:03.265004,1768482603.265,131.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp16,run
2026-01-15T14:10:06.540632,1768482606.541,129.000,GPU_ORT_CUDA_BASIC,yolo11m_512_fp16,run
2026-01-15T14:10:09.809591,1768482609.810,118.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp16,run
2026-01-15T14:10:13.027678,1768482613.028,137.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp16,run
2026-01-15T14:10:16.282287,1768482616.282,129.000,GPU_ORT_CUDA_DISABLE,yolo11m_512_fp16,run
2026-01-15T14:10:18.736347,1768482618.736,135.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp32,run
2026-01-15T14:10:20.624562,1768482620.625,121.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp32,run
2026-01-15T14:10:22.526150,1768482622.526,148.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp32,run
2026-01-15T14:10:24.426806,1768482624.427,141.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp32,run
2026-01-15T14:10:26.326638,1768482626.327,144.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp32,run
2026-01-15T14:10:28.229732,1768482628.230,151.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp32,run
2026-01-15T14:10:30.093115,1768482630.093,157.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp32,run
2026-01-15T14:10:31.986512,1768482631.987,145.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp32,run
2026-01-15T14:10:33.876617,1768482633.877,144.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp32,run
2026-01-15T14:10:36.648650,1768482636.649,148.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp16,run
2026-01-15T14:10:39.924811,1768482639.925,102.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp16,run
2026-01-15T14:10:43.195558,1768482643.196,118.000,GPU_ORT_CUDA_ALL,yolo11m_416_fp16,run
2026-01-15T14:10:45.914262,1768482645.914,130.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp16,run
2026-01-15T14:10:49.162729,1768482649.163,121.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp16,run
2026-01-15T14:10:52.406800,1768482652.407,125.000,GPU_ORT_CUDA_BASIC,yolo11m_416_fp16,run
2026-01-15T14:10:55.646407,1768482655.646,115.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp16,run
2026-01-15T14:10:58.830837,1768482658.831,107.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp16,run
2026-01-15T14:11:02.105943,1768482662.106,104.000,GPU_ORT_CUDA_DISABLE,yolo11m_416_fp16,run
2026-01-15T14:11:04.173423,1768482664.173,105.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp32,run
2026-01-15T14:11:05.678082,1768482665.678,97.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp32,run
2026-01-15T14:11:07.176643,1768482667.177,126.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp32,run
2026-01-15T14:11:08.669714,1768482668.670,126.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp32,run
2026-01-15T14:11:10.184883,1768482670.185,124.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp32,run
2026-01-15T14:11:11.665610,1768482671.666,128.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp32,run
2026-01-15T14:11:13.121092,1768482673.121,135.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp32,run
2026-01-15T14:11:14.625181,1768482674.625,134.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp32,run
2026-01-15T14:11:16.109006,1768482676.109,122.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp32,run
2026-01-15T14:11:18.700235,1768482678.700,121.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp16,run
2026-01-15T14:11:21.265777,1768482681.266,122.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp16,run
2026-01-15T14:11:23.838973,1768482683.839,121.000,GPU_ORT_CUDA_ALL,yolo11m_320_fp16,run
2026-01-15T14:11:26.361583,1768482686.362,118.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp16,run
2026-01-15T14:11:28.963866,1768482688.964,126.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp16,run
2026-01-15T14:11:31.547166,1768482691.547,128.000,GPU_ORT_CUDA_BASIC,yolo11m_320_fp16,run
2026-01-15T14:11:34.171423,1768482694.171,128.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp16,run
2026-01-15T14:11:36.816014,1768482696.816,173.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp16,run
2026-01-15T14:11:39.449655,1768482699.450,140.000,GPU_ORT_CUDA_DISABLE,yolo11m_320_fp16,run
2026-01-15T14:11:41.212783,1768482701.213,126.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp32,run
2026-01-15T14:11:42.935988,1768482702.936,159.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp32,run
2026-01-15T14:11:44.574106,1768482704.574,127.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp32,run
2026-01-15T14:11:46.225389,1768482706.225,113.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp32,run
2026-01-15T14:11:47.869977,1768482707.870,115.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp32,run
2026-01-15T14:11:49.513632,1768482709.514,133.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp32,run
2026-01-15T14:11:51.182366,1768482711.182,146.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp32,run
2026-01-15T14:11:52.817128,1768482712.817,151.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp32,run
2026-01-15T14:11:54.466691,1768482714.467,154.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp32,run
2026-01-15T14:11:57.042009,1768482717.042,120.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp16,run
2026-01-15T14:11:59.609904,1768482719.610,121.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp16,run
2026-01-15T14:12:02.154927,1768482722.155,101.000,GPU_ORT_CUDA_ALL,yolo11m_256_fp16,run
2026-01-15T14:12:04.723434,1768482724.723,119.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp16,run
2026-01-15T14:12:07.250351,1768482727.250,129.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp16,run
2026-01-15T14:12:09.776661,1768482729.777,107.000,GPU_ORT_CUDA_BASIC,yolo11m_256_fp16,run
2026-01-15T14:12:12.349684,1768482732.350,115.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp16,run
2026-01-15T14:12:14.877616,1768482734.878,124.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp16,run
2026-01-15T14:12:17.475849,1768482737.476,120.000,GPU_ORT_CUDA_DISABLE,yolo11m_256_fp16,run
2026-01-15T14:12:18.944753,1768482738.945,117.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp32,run
2026-01-15T14:12:20.948213,1768482740.948,134.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp32,run
2026-01-15T14:12:22.954107,1768482742.954,164.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp32,run
2026-01-15T14:12:24.918294,1768482744.918,155.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp32,run
2026-01-15T14:12:26.923896,1768482746.924,151.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp32,run
2026-01-15T14:12:28.933468,1768482748.933,146.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp32,run
2026-01-15T14:12:30.917693,1768482750.918,139.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp32,run
2026-01-15T14:12:32.905340,1768482752.905,148.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp32,run
2026-01-15T14:12:34.908789,1768482754.909,157.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp32,run
2026-01-15T14:12:37.799459,1768482757.799,118.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp16,run
2026-01-15T14:12:41.153784,1768482761.154,96.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp16,run
2026-01-15T14:12:44.506758,1768482764.507,117.000,GPU_ORT_CUDA_ALL,yolo11s_640_fp16,run
2026-01-15T14:12:47.853211,1768482767.853,112.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp16,run
2026-01-15T14:12:51.274942,1768482771.275,106.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp16,run
2026-01-15T14:12:54.626668,1768482774.627,103.000,GPU_ORT_CUDA_BASIC,yolo11s_640_fp16,run
2026-01-15T14:12:58.027243,1768482778.027,118.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp16,run
2026-01-15T14:13:01.401640,1768482781.402,109.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp16,run
2026-01-15T14:13:04.789543,1768482784.790,94.000,GPU_ORT_CUDA_DISABLE,yolo11s_640_fp16,run
2026-01-15T14:13:07.583131,1768482787.583,99.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp32,run
2026-01-15T14:13:09.316093,1768482789.316,140.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp32,run
2026-01-15T14:13:11.018901,1768482791.019,147.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp32,run
2026-01-15T14:13:12.738454,1768482792.738,141.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp32,run
2026-01-15T14:13:14.463451,1768482794.463,136.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp32,run
2026-01-15T14:13:16.188973,1768482796.189,137.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp32,run
2026-01-15T14:13:17.926886,1768482797.927,131.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp32,run
2026-01-15T14:13:19.654870,1768482799.655,142.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp32,run
2026-01-15T14:13:21.329971,1768482801.330,146.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp32,run
2026-01-15T14:13:23.637244,1768482803.637,150.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp16,run
2026-01-15T14:13:26.472650,1768482806.473,114.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp16,run
2026-01-15T14:13:29.314718,1768482809.315,114.000,GPU_ORT_CUDA_ALL,yolo11s_512_fp16,run
2026-01-15T14:13:32.142238,1768482812.142,99.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp16,run
2026-01-15T14:13:34.976300,1768482814.976,95.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp16,run
2026-01-15T14:13:37.818772,1768482817.819,105.000,GPU_ORT_CUDA_BASIC,yolo11s_512_fp16,run
2026-01-15T14:13:40.650484,1768482820.650,104.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp16,run
2026-01-15T14:13:43.490141,1768482823.490,108.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp16,run
2026-01-15T14:13:46.334884,1768482826.335,117.000,GPU_ORT_CUDA_DISABLE,yolo11s_512_fp16,run
2026-01-15T14:13:48.614053,1768482828.614,119.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:50.332520,1768482830.333,135.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:52.061883,1768482832.062,121.000,GPU_ORT_CUDA_ALL,yolo11s_416_fp32,run
2026-01-15T14:13:53.773576,1768482833.774,117.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:55.497452,1768482835.497,117.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:57.167679,1768482837.168,137.000,GPU_ORT_CUDA_BASIC,yolo11s_416_fp32,run
2026-01-15T14:13:58.926430,1768482838.926,143.000,GPU_ORT_CUDA_DISABLE,yolo11s_416_fp32,run
